Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.27239E-4,26.512545132,0.475500568,0.242680906,0.195564516,0
1.28613E-4,26.755609923,0.479142336,0.240931688,0.19858871,0
1.29879E-4,27.001032304,0.482477898,0.239182471,0.200604839,0
1.30812E-4,27.261748893,0.48492079,0.237341189,0.201612903,0
1.32126E-4,27.51141826,0.488340891,0.235591972,0.202620968,0
1.3334E-4,27.750332541,0.491480505,0.233934819,0.204637097,0
1.34215E-4,28.004532733,0.493732377,0.232185601,0.210685484,0
1.35242E-4,28.260620537,0.496362485,0.230436384,0.217741935,0
1.36691E-4,28.506073857,0.500049975,0.22877923,0.221774194,0
1.37379E-4,28.752653332,0.501791827,0.227122077,0.222782258,0
1.38254E-4,29.000759676,0.503997447,0.225464924,0.222782258,0
1.39348E-4,29.25085993,0.506742172,0.22380777,0.225806452,0
1.40284E-4,29.502542183,0.509078628,0.222150617,0.226814516,0
1.41658E-4,29.756661978,0.512486646,0.220493463,0.22983871,0
1.42596E-4,30.012530227,0.514802214,0.21883631,0.230846774,0
1.43685E-4,30.255893192,0.51747484,0.217271221,0.230846774,0
1.44599E-4,30.501040963,0.519704856,0.215706131,0.233870968,0
1.45819E-4,30.762153497,0.522667157,0.214048978,0.236895161,0
1.47418E-4,31.011342005,0.526523933,0.212483889,0.239919355,0
1.48046E-4,31.26245154,0.528028653,0.210918799,0.244959677,0
1.49222E-4,31.500340472,0.530836411,0.209445774,0.25,0
1.50598E-4,31.755363678,0.534098488,0.207880685,0.252016129,0
1.51411E-4,32.012087283,0.536014791,0.206315596,0.255040323,0
1.5273E-4,32.255467523,0.539107637,0.20484257,0.259072581,0
1.53698E-4,32.500615059,0.541364697,0.203369545,0.262096774,0
1.55364E-4,32.763475648,0.545224032,0.201804456,0.264112903,0
1.57082E-4,33.013733862,0.54917021,0.200331431,0.268145161,0
1.58739E-4,33.250631711,0.552943523,0.19895047,0.272177419,0
1.59807E-4,33.505385553,0.555356718,0.197477444,0.274193548,0
1.61186E-4,33.762249116,0.558455794,0.196004419,0.277217742,0
1.62355E-4,34.004911745,0.561066682,0.194623458,0.279233871,0
1.63962E-4,34.265812227,0.564630504,0.193150433,0.285282258,0
1.64972E-4,34.512520098,0.566854045,0.191769472,0.289314516,0
1.65864E-4,34.760559937,0.568807877,0.19038851,0.294354839,0
1.66811E-4,35.010219628,0.570874054,0.189007549,0.295362903,0
1.68807E-4,35.262256639,0.575196796,0.187626588,0.299395161,0
1.70689E-4,35.500002159,0.579231953,0.186337691,0.303427419,0
1.72483E-4,35.757734933,0.583042709,0.18495673,0.309475806,0
1.74363E-4,36.000693227,0.587000669,0.183667833,0.317540323,0
1.76117E-4,36.263692907,0.59065764,0.182286872,0.324596774,0
1.77814E-4,36.511619361,0.594165948,0.180997975,0.327620968,0
1.79163E-4,36.761641376,0.596933468,0.179709078,0.333669355,0
1.81089E-4,37.014131365,0.600850585,0.17842018,0.336693548,0
1.82749E-4,37.250820984,0.604196357,0.177223347,0.339717742,0
1.83714E-4,37.507481916,0.606128844,0.17593445,0.34375,0
1.84766E-4,37.765364437,0.608225612,0.174645553,0.348790323,0
1.86428E-4,38.006447286,0.61151383,0.17344872,0.352822581,0
1.88156E-4,38.268757741,0.614903778,0.172159823,0.359879032,0
1.89927E-4,38.533725463,0.618347371,0.170870926,0.362903226,0
1.91911E-4,38.763198429,0.622167314,0.169766157,0.367943548,0
1.92756E-4,39.013301283,0.623784042,0.168569324,0.375,0
1.94325E-4,39.265094063,0.626765231,0.167280427,0.379032258,0
1.95179E-4,39.518210528,0.628379001,0.166175658,0.384072581,0
1.96399E-4,39.753023426,0.630670608,0.165070889,0.38608871,0
1.97548E-4,40.009255844,0.632816954,0.163874056,0.389112903,0
1.99744E-4,40.267807702,0.636882927,0.162677223,0.393145161,0
2.01411E-4,40.508402463,0.639941231,0.161572454,0.398185484,0
2.0343E-4,40.751320527,0.643608842,0.160467686,0.401209677,0
2.05174E-4,41.016963293,0.646746199,0.159270853,0.402217742,0
2.08954E-4,41.265611169,0.653453929,0.158166084,0.407258065,0
2.108E-4,41.517874493,0.656683253,0.157061315,0.416330645,0
2.12295E-4,41.750843925,0.659277418,0.15604861,0.420362903,0
2.13485E-4,42.00637418,0.661326728,0.154943841,0.423387097,0
2.14593E-4,42.263281293,0.663225112,0.153839072,0.427419355,0
2.15996E-4,42.500158581,0.665612945,0.152826367,0.430443548,0
2.17803E-4,42.76062861,0.668663187,0.151721598,0.4375,0
2.1901E-4,43.000961744,0.670685333,0.150708893,0.442540323,0
2.20807E-4,43.264873741,0.67367237,0.149604124,0.445564516,0
2.22652E-4,43.508784785,0.676712949,0.14859142,0.44858871,0
2.24625E-4,43.75487711,0.679930837,0.147578715,0.451612903,0
2.26147E-4,44.002825271,0.682392574,0.14656601,0.454637097,0
2.27375E-4,44.252472723,0.684364884,0.145553305,0.458669355,0
2.28418E-4,44.503441985,0.68602972,0.1445406,0.463709677,0
2.29852E-4,44.778411022,0.688303973,0.143435831,0.469758065,0
2.31352E-4,45.009239445,0.690666166,0.142515191,0.470766129,0
2.33609E-4,45.265157761,0.694187699,0.141502486,0.473790323,0
2.35345E-4,45.523326058,0.696867711,0.140489781,0.476814516,0
2.37017E-4,45.759560113,0.699427337,0.13956914,0.47983871,0
2.38071E-4,46.020774592,0.701030868,0.138556435,0.485887097,0
2.39634E-4,46.259834312,0.703390667,0.137635795,0.489919355,0
2.41172E-4,46.500380412,0.705695592,0.136715154,0.493951613,0
2.42987E-4,46.766919714,0.708392591,0.135702449,0.496975806,0
2.44893E-4,47.010766042,0.711197254,0.134781808,0.497983871,0
2.46496E-4,47.256551332,0.713535735,0.133861167,0.498991935,0
2.47889E-4,47.5037741,0.715553012,0.132940527,0.502016129,0
2.49744E-4,47.752570118,0.718215349,0.132019886,0.509072581,0
2.51067E-4,48.003222329,0.720100573,0.131099245,0.512096774,0
2.53735E-4,48.25559013,0.723862437,0.130178604,0.514112903,0
2.5568E-4,48.510435293,0.726572401,0.129257964,0.52016129,0
2.57216E-4,48.766979126,0.728694039,0.128337323,0.523185484,0
2.58216E-4,49.050548212,0.730067336,0.127324618,0.527217742,0
2.58679E-4,49.257299353,0.730699594,0.126588105,0.53125,0
2.59573E-4,49.516582321,0.731917759,0.125667465,0.536290323,0
2.61566E-4,49.750953366,0.734614582,0.124838888,0.540322581,0
2.63422E-4,50.0135487,0.73710037,0.123918247,0.545362903,0
2.64772E-4,50.251231309,0.738894764,0.12308967,0.548387097,0
2.65836E-4,50.516517584,0.74029969,0.12216903,0.55141129,0
2.67015E-4,50.756268599,0.741847323,0.121340453,0.554435484,0
2.68207E-4,51.023814515,0.743403528,0.120419812,0.556451613,0
