RSPB,County,Species,Mean 2021,Rank 2021,% Gardens 2021,,Mean 2020,Rank 2020,% Gardens 2020,,% Change,Rank Change,% change in % gardens recorded,
ESRO,Angus,Song_thrush,0.155,23,11.0,,0.132,23,8.6,,18.1,0,28.6,
ESRO,Angus,Herring_gull,0.100,24,3.5,,0.053,26,2.6,,90.3,2,32.8,
ESRO,Angus,Siskin,0.084,25,3.7,,0.043,28,2.0,,97.5,3,87.5,
ESRO,Angus,Bullfinch,0.062,26,3.0,,0.030,30,2.0,,108.3,4,53.8,
ESRO,Angus,Rook,0.056,27,1.9,,0.043,27,2.3,,30.9,0,-17.6,
ESRO,Angus,Common_gull,0.043,28,1.3,,0.030,31,1.3,,43.9,3,0.8,
ESRO,Angus,Buzzard,0.041,29,3.0,,0.059,24,4.0,,-31.4,-5,-23.4,
ESRO,Angus,Fieldfare,0.036,30,2.0,,0.000,53,0.0,,Increase,23,Increase,
ESRO,Angus,Sparrowhawk,0.036,31,3.6,,0.059,25,5.9,,-39.2,-6,-39.2,
ESRO,Angus,Yellowhammer,0.036,32,2.0,,0.023,34,1.7,,53.1,2,21.6,
ESRO,Angus,Black_headed_gull,0.034,33,1.2,,0.013,36,0.3,,159.1,3,274.2,
ESRO,Angus,Jay,0.031,34,2.0,,0.026,33,2.0,,19.0,-1,0.9,
ESRO,Angus,Treecreeper,0.029,35,2.9,,0.027,32,2.7,,6.7,-3,6.7,
ESRO,Angus,Goldcrest,0.019,36,1.5,,0.007,43,0.7,,187.9,7,130.3,
ESRO,Angus,Redwing,0.017,37,0.8,,0.039,29,1.0,,-56.8,-8,-23.2,
ESRO,Angus,Mistle_thrush,0.013,38,1.0,,0.000,69,0.0,,Increase,31,Increase,
ESRO,Angus,Pied_wagtail,0.011,39,0.8,,0.010,38,0.7,,14.9,-1,14.9,
ESRO,Angus,Blackcap,0.009,40,0.6,,0.007,42,0.3,,29.5,2,72.7,
ESRO,Angus,Kestrel,0.008,41,0.8,,0.003,45,0.3,,130.5,4,130.5,
ESRO,Angus,Grey_heron,0.006,42,0.6,,0.013,35,1.3,,-56.9,-7,-56.9,
ESRO,Angus,Stock_dove,0.004,43,0.3,,0.003,47,0.3,,15.2,4,-13.6,
ESRO,Angus,Redpoll,0.003,44,0.2,,0.010,40,0.7,,-71.1,-4,-71.1,
ESRO,Angus,Hooded_crow,0.003,45,0.2,,0.000,61,0.0,,Increase,16,Increase,
ESRO,Angus,Red_kite,0.003,46,0.1,,0.013,37,0.7,,-78.4,-9,-85.6,
ESRO,Angus,Linnet,0.002,47,0.2,,0.000,65,0.0,,Increase,18,Increase,
ESRO,Angus,Nuthatch,0.002,48,0.2,,0.000,71,0.0,,Increase,23,Increase,
ESRO,Angus,Brambling,0.001,49,0.1,,0.000,50,0.0,,Increase,1,Increase,
ESRO,Angus,Raven,0.001,50,0.1,,0.003,46,0.3,,-71.1,-4,-71.1,
ESRO,Angus,Barn_owl,0.001,51,0.1,,0.007,41,0.7,,-85.6,-10,-85.6,
ESRO,Angus,Chiffchaff,0.001,52,0.1,,0.000,51,0.0,,Increase,-1,Increase,
ESRO,Angus,Great_black_backed_gull,0.001,53,0.1,,0.000,55,0.0,,Increase,2,Increase,
ESRO,Angus,Green_woodpecker,0.001,54,0.1,,0.000,57,0.0,,Increase,3,Increase,
ESRO,Angus,Grey_wagtail,0.001,55,0.1,,0.000,59,0.0,,Increase,4,Increase,
ESRO,Angus,Marsh_tit,0.001,56,0.1,,0.000,67,0.0,,Increase,11,Increase,
ESRO,Angus,Meadow_pipit,0.001,57,0.1,,0.000,68,0.0,,Increase,11,Increase,
ESRO,Angus,Moorhen,0.001,58,0.1,,0.010,39,0.7,,-90.4,-19,-85.6,
ESRO,Angus,Reed_bunting,0.001,59,0.1,,0.000,73,0.0,,Increase,14,Increase,
ESRO,Angus,Mallard,0.000,70,0.0,,0.007,44,0.3,,-100.0,-26,-100.0,
ESRO,Angus,Tawny_owl,0.000,75,0.0,,0.003,48,0.3,,-100.0,-27,-100.0,
NIRO,Antrim,Starling,4.588,1,58.0,,4.756,1,60.3,,-3.5,0,-3.8,
NIRO,Antrim,House_sparrow,4.418,2,65.3,,4.727,2,67.7,,-6.5,0,-3.5,
NIRO,Antrim,Blackbird,2.571,3,89.0,,2.164,4,85.9,,18.8,1,3.6,
NIRO,Antrim,Blue_tit,2.458,4,73.6,,2.127,5,72.9,,15.6,1,1.0,
NIRO,Antrim,Chaffinch,2.077,5,53.1,,1.910,6,52.3,,8.8,1,1.6,
NIRO,Antrim,Robin,1.854,6,89.7,,1.613,8,90.1,,15.0,2,-0.5,
NIRO,Antrim,Great_tit,1.844,7,61.0,,1.387,9,56.2,,33.0,2,8.6,
NIRO,Antrim,Magpie,1.589,8,68.6,,1.696,7,69.7,,-6.3,-1,-1.5,
NIRO,Antrim,Goldfinch,1.581,9,29.2,,2.541,3,37.8,,-37.8,-6,-22.9,
NIRO,Antrim,Coal_tit,1.463,10,54.5,,1.239,10,54.6,,18.0,0,-0.3,
NIRO,Antrim,Woodpigeon,1.138,11,46.6,,1.128,12,47.2,,0.9,1,-1.3,
NIRO,Antrim,Collared_dove,1.067,12,44.9,,1.214,11,49.0,,-12.2,-1,-8.4,
NIRO,Antrim,Feral_pigeon,0.908,13,19.1,,0.975,13,21.2,,-6.8,0,-9.9,
NIRO,Antrim,Long_tailed_tit,0.853,14,19.2,,0.758,15,19.4,,12.5,1,-0.8,
NIRO,Antrim,Hooded_crow,0.759,15,20.6,,0.060,24,3.7,,1168.6,9,453.9,
NIRO,Antrim,Jackdaw,0.742,16,22.1,,0.948,14,25.8,,-21.7,-2,-14.6,
NIRO,Antrim,Dunnock,0.611,17,32.1,,0.595,16,33.4,,2.8,-1,-3.9,
NIRO,Antrim,Song_thrush,0.366,18,26.2,,0.267,18,20.2,,36.8,0,29.8,
NIRO,Antrim,Wren,0.332,19,25.4,,0.329,17,26.2,,1.0,-2,-3.0,
