Year,All species,All species,All species,All species,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Seabirds,Seabirds,Seabirds,Wintering Water birds,Wintering Water birds,Wildfowl (27),Wildfowl (27),Wader (15),Wader (15)
,All (130),All (130),All (130),All (130),All (19),All (19),All (19),All (19),Generalist (7),Generalist (7),Generalist (7),Generalist (7),Specialist (12),Specialist (12),Specialist (12),Specialist (12),All (37),All (37),All (37),All (37),Generalist (12),Generalist (12),Generalist (12),Generalist (12),Specialist (25),Specialist (25),Specialist (25),Specialist (25),All (26),All (26),All (26),All (26),Reed bed (4),Reed bed (4),Reed bed (4),Reed bed (4),Wet meadow (8),Wet meadow (8),Wet meadow (8),Wet meadow (8),Fast flow (4) ,Fast flow (4) ,Fast flow (4) ,Fast flow (4) ,Slow stand (6),Slow stand (6),Slow stand (6),Slow stand (6),All (13),All (13),All (13),All (46) ,All (46) ,All (46) ,All (46) ,All (46) ,All (46) 
,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Unsmoothed data 2.5CI,Unsmoothed data 97.5CI,Unsmoothed data,Smoothed data,Unsmoothed data,Smoothed data,Unsmoothed data,Smoothed data
1980,108.6014846,103.7864181,100.4001812,108.6450571,97.11109705,92.44154653,85.76799356,100.0495907,104.2322783,101.8901882,86.17270222,120.8150956,93.72656231,87.54275501,80.5172056,94.58391175,101.602434,95.16235116,91.06382528,100.4410018,103.6079431,94.83234507,90.50691415,99.78220117,96.74316786,91.85731756,85.517646,100.1179765,99.42502531,99.01719088,91.89113369,108.8420549,77.47057904,83.07350336,67.41967906,96.77879402,108.6818502,109.0868825,89.64160645,155.8073917,76.20376873,75.52376575,65.43462624,83.32569876,126.0625797,115.7977524,98.83835762,135.6781872,,,,115.43627,114.70005,129.67294,127.91983,95.36004,95.88142
1981,108.7483298,102.8645348,99.57226525,107.687315,93.19255254,87.69743978,80.64283996,95.28838026,107.9771876,100.9113048,85.01741363,121.0028276,86.01975452,80.99136859,74.11972455,88.07457462,102.998498,95.02510062,90.90446568,100.802665,108.9319374,94.34323685,89.93327724,99.98398917,96.24183237,92.04648255,85.35692274,101.1025422,97.8463377,98.49023994,90.09134245,109.3180545,62.99118673,76.55048615,60.37848016,91.53926729,104.5212578,111.4820455,90.8605632,161.7234661,82.03967802,76.09752981,64.28278278,84.30795384,117.6243574,113.728356,94.82281835,136.2586531,,,,118.61366,120.88653,138.69866,136.74005,91.73247,98.73151
1982,99.35498522,101.3234327,97.89124781,106.003846,82.11322283,82.78969978,75.38077261,90.70909235,105.7897078,100.1628602,84.44665972,120.5728037,71.24434078,74.25480933,67.72710931,81.11389183,92.80522625,94.46806537,90.2445612,100.6315219,88.99899545,93.57689171,89.27457809,98.7666723,91.83049566,91.66235755,84.77213945,101.2929611,89.46240216,97.81337309,89.10596857,108.7237194,64.82426294,71.16189433,53.67753143,88.73990917,110.8649735,113.3011363,90.18267824,169.0311535,64.94894742,77.49979632,65.42933859,85.71566557,105.4999339,111.9353897,91.40275793,134.440997,,,,127.98658,127.58899,145.52247,144.9721,103.64527,103.43843
1983,102.5834689,99.83172054,96.45590554,104.2953373,81.33820253,78.45821228,70.8939635,86.24920753,105.8998394,99.40528005,83.54684069,121.0262734,70.1400017,68.50090626,62.41135818,74.77820271,99.22167774,93.87898592,89.20780761,100.048705,101.1329851,93.47255902,88.82841854,98.83740891,94.9492229,90.72131441,83.77363633,99.61019588,97.15066953,97.68158835,87.79087459,108.6235675,61.38397699,66.76402265,49.67472268,83.73284197,106.7243426,114.0803352,89.75291656,173.5326257,81.36317765,81.57116035,68.73642083,91.32594315,118.6460468,111.7594397,89.34590867,134.7024655,,,,130.11437,134.56162,146.45835,152.99811,107.12744,108.97015
1984,103.1704832,98.20815085,94.86891235,102.4901409,80.54046091,74.58394571,67.06180892,81.97779234,105.3644517,98.5657083,82.34505853,119.7654949,69.25839201,63.53642185,57.8132897,69.1355302,98.18957484,92.85695096,88.10737254,99.4422761,103.1901106,93.17648473,88.24631214,98.70861399,91.2152454,89.15795013,82.33000851,97.79879983,96.88570437,97.34709105,87.0113655,108.1381428,53.74314019,63.63458378,47.48191239,80.23702533,113.9025583,113.3162742,87.68959514,173.8323674,92.16038579,86.7174706,72.67789821,96.80198818,119.8183978,111.9639042,88.21149885,133.9263357,,,,143.50561,142.90545,163.94512,163.19524,115.18688,114.86521
1985,98.81510647,96.32028499,93.17530587,100.4483342,74.23739656,70.77136179,63.4552503,77.42205597,103.2472693,97.71891608,81.39387084,118.6903495,61.5996796,58.76624426,53.26803618,63.90610863,96.99414079,91.26846217,86.54700625,97.88694874,100.890179,92.01778177,87.05170881,97.47128082,90.70412554,87.29558959,80.51705017,96.23679974,95.02535748,96.69441777,86.61294934,107.0373585,54.47399146,62.629655,46.62760064,78.58443512,108.6680509,110.2795206,83.17302677,171.4225371,95.16979838,90.41573113,75.75621449,101.6465215,123.2130194,111.7302622,89.06763187,134.8482235,,,,151.91766,151.92949,173.98027,174.27113,121.42879,121.19435
1986,93.28809274,94.97454931,91.97727508,99.34320259,68.59998675,67.3685241,60.18263959,73.45395833,103.013197,97.25043232,80.72563862,118.5569413,54.43110775,54.50812653,49.06983269,60.11588237,87.2758921,89.6789185,85.36504945,95.77297089,89.91399602,90.79146064,85.52267077,96.20754916,82.12790188,85.58180224,78.85700213,94.45698345,89.19394668,96.85174806,86.69804844,108.0603982,56.16025508,63.72698248,46.65875142,78.8272566,94.40800266,106.0877772,78.73811492,167.832847,92.50052465,91.9081827,75.41096946,108.3453481,108.6876156,111.8436648,88.91732219,137.1065178,100,100,100,157.51455,160.83356,188.51028,184.95527,116.17241,128.54345
1987,93.4568568,95.03336792,91.92483634,99.62803926,65.1453291,65.04272872,58.12904809,70.86019817,99.21471397,97.67394077,80.97115145,119.2005713,51.2665519,51.42821642,46.03812182,57.36053872,88.55824756,89.11140606,84.74408128,94.97378641,90.97914995,90.97843052,85.61232382,96.86872216,84.01361542,84.68906797,78.22240083,93.37364206,93.92217921,98.59797318,88.47098297,110.6698035,58.89940624,66.07566454,48.3690027,81.59657033,97.75858714,102.7818265,76.16043563,158.2363626,89.48842608,92.12536225,75.87201199,109.7186753,114.0957421,114.4503256,90.78391139,141.5840729,103.8996056,76.29777202,150.1550909,167.65185,170.23567,191.07746,194.2429,135.71778,138.29799
1988,99.74914634,96.06815291,92.92689635,100.9074588,65.43624185,64.00097291,57.35044891,69.94728517,104.2482472,99.30874586,82.30258279,120.7901776,50.16035124,49.6470815,44.01474734,55.2455788,93.83840285,89.23591797,84.97069573,95.31549492,100.2809694,92.32307176,86.87808907,98.52412359,86.65897421,84.17260254,78.09167766,93.49308783,99.80173631,101.0343847,90.16973434,113.8357781,62.34395861,68.59793166,50.80059487,86.88251571,99.91689246,99.96754818,74.19859058,153.2102467,91.31941714,92.04932833,75.97968919,110.7167222,124.4649219,119.5828616,94.56564483,147.0463749,103.707912,65.93077325,152.6612015,184.00354,179.39715,210.51247,202.47074,147.99405,148.47826
1989,102.1738959,96.54194075,92.87758059,101.7512376,67.72197094,63.66270215,56.8093823,69.67321243,107.5327971,101.4233725,84.17878403,122.9989939,52.01292294,48.63084868,42.90707441,54.40739634,96.8379369,88.59493614,84.22568027,94.9812957,103.6650339,93.07075508,87.41069414,99.28225497,89.49853696,82.757151,76.26067827,92.7528769,102.7136705,101.8416612,90.5650959,115.9967951,62.50027215,67.15662314,50.8074053,86.85351131,91.2254866,96.44277572,70.47334488,150.3287201,92.69443346,91.78172019,75.38700668,109.9552933,131.9115247,125.3848684,97.39899048,154.3134288,99.99477917,64.77225944,132.4443009,181.6016,186.97958,197.19738,209.24314,156.83347,156.37932
