Species,x,y
Hippodamia variegata,-1.02891,53.178143
Hippodamia variegata,-0.988292,53.473096
Hippodamia variegata,-0.836728,53.918004
Hippodamia variegata,-2.939038,51.560118
Hippodamia variegata,-0.879317,53.17683
Hippodamia variegata,-0.084488,50.828804
Hippodamia variegata,-2.037849,52.026908
Hippodamia variegata,-0.11578,51.372047
Hippodamia variegata,-0.84214,53.917742
Hippodamia variegata,0.089675,51.545272
Hippodamia variegata,1.044622,52.873398
Hippodamia variegata,-0.236569,54.247773
Hippodamia variegata,-0.489888,51.464242
Hippodamia variegata,0.31006,51.482684
Hippodamia variegata,0.482973,50.818105
Hippodamia variegata,-1.143351,50.773935
Hippodamia variegata,-2.902068,54.023609
Hippodamia variegata,-1.45034,52.394242
Hippodamia variegata,-0.930036,51.109399
Hippodamia variegata,-0.641785,51.196331
Hippodamia variegata,-0.15839,52.538522
Hippodamia variegata,-0.198582,51.550053
Hippodamia variegata,0.085569,51.455417
Hippodamia variegata,0.193648,51.457941
Hippodamia variegata,-1.449478,53.634756
Hippodamia variegata,0.578131,52.524766
Hippodamia variegata,-3.24961,54.159815
Hippodamia variegata,0.106316,51.904676
Hippodamia variegata,-2.065039,50.669149
Hippodamia variegata,-0.202123,51.460183
Hippodamia variegata,-1.15825,51.520398
Hippodamia variegata,-0.836728,53.918004
Hippodamia variegata,-0.830814,51.050447
Hippodamia variegata,-0.753309,53.213784
Hippodamia variegata,-2.98016,53.447737
Hippodamia variegata,-1.02891,53.178143
Hippodamia variegata,0.750597,51.383235
Hippodamia variegata,0.578131,52.524766
Hippodamia variegata,-2.244505,52.503146
Hippodamia variegata,-0.495791,51.284471
Hippodamia variegata,-0.15839,52.538522
Hippodamia variegata,-0.84214,53.917742
Hippodamia variegata,-0.198582,51.550053
Hippodamia variegata,-3.952192,51.637557
Hippodamia variegata,-0.352462,51.282542
Hippodamia variegata,-1.186984,52.729853
Hippodamia variegata,-1.473336,53.540485
Hippodamia variegata,-0.046274,51.570097
Hippodamia variegata,-0.495791,51.284471
Hippodamia variegata,0.539754,51.468939
Hippodamia variegata,-2.94437,52.850238
Hippodamia variegata,-0.492847,51.374357
Hippodamia variegata,1.468096,52.591956
Hippodamia variegata,0.233773,51.542617
Hippodamia variegata,-1.421068,52.385113
Hippodamia variegata,-0.017826,51.560627
Hippodamia variegata,-0.15462,52.628373
Hippodamia variegata,-0.639135,51.286225
Hippodamia variegata,-0.198582,51.550053
Hippodamia variegata,0.223285,51.475369
Hippodamia variegata,1.378966,51.425255
Hippodamia variegata,-0.633794,51.466007
Hippodamia variegata,-0.352462,51.282542
Hippodamia variegata,-3.130698,53.446406
Hippodamia variegata,0.578131,52.524766
Hippodamia variegata,-0.30576,52.540723
Hippodamia variegata,-1.02891,53.178143
Hippodamia variegata,-1.322451,53.539726
Hippodamia variegata,-0.775307,51.557489
Hippodamia variegata,0.719812,52.431668
Hippodamia variegata,1.713822,52.615978
Hippodamia variegata,-0.352462,51.282542
Hippodamia variegata,-1.030796,53.26041
Hippodamia variegata,0.089675,51.545272
Hippodamia variegata,-1.436218,52.349225
Hippodamia variegata,0.124656,51.522162
Hippodamia variegata,0.521898,51.536775
Hippodamia variegata,1.044622,52.873398
Hippodamia variegata,-0.108243,52.624495
Hippodamia variegata,-0.869848,53.536306
Hippodamia variegata,-3.440196,54.355425
Hippodamia variegata,-1.188651,52.639965
Hippodamia variegata,-0.198582,51.550053
Hippodamia variegata,-0.631103,51.555896
Hippodamia variegata,-2.976043,53.267991
Hippodamia variegata,-2.052455,52.053874
Hippodamia variegata,-1.862442,54.530201
Hippodamia variegata,-1.36101,50.932701
Hippodamia variegata,-0.815519,53.320042
Hippodamia variegata,-2.630998,52.744442
Hippodamia variegata,-3.076279,53.586686
Hippodamia variegata,0.089675,51.545272
Hippodamia variegata,1.468096,52.591956
Hippodamia variegata,-0.639135,51.286225
Hippodamia variegata,-2.1467925,52.9817411
Hippodamia variegata,-1.02891,53.178143
Hippodamia variegata,-1.175062,53.359025
Hippodamia variegata,-3.130698,53.446406
Hippodamia variegata,1.08589,51.126941
Hippodamia variegata,0.265557,51.456573
Hippodamia variegata,-3.2343,54.159973
Hippodamia variegata,-1.026875,53.268019
Hippodamia variegata,-0.30576,52.540723
Hippodamia variegata,-1.207919,50.834598
Hippodamia variegata,0.312012,53.069752
Hippodamia variegata,-0.15839,52.538522
Hippodamia variegata,-0.15462,52.628373
Hippodamia variegata,-1.178514,53.179269
Hippodamia variegata,-0.478609,51.565258
Hippodamia variegata,-0.01509,52.446292
Hippodamia variegata,-2.4246,52.777499
Hippodamia variegata,0.567664,52.345147
Hippodamia variegata,-2.69053,52.76209
Hippodamia variegata,0.211506,51.529549
Hippodamia variegata,-1.02891,53.178143
Hippodamia variegata,-1.489647,50.939763
Hippodamia variegata,-0.495791,51.284471
Hippodamia variegata,1.372602,51.241038
Hippodamia variegata,0.373176,51.449947
Hippodamia variegata,-1.178514,53.179269
Hippodamia variegata,-1.026875,53.268019
Hippodamia variegata,0.725358,52.521466
Hippodamia variegata,-2.943423,52.840806
Hippodamia variegata,-2.98016,53.447737
Hippodamia variegata,-1.473336,53.540485
Hippodamia variegata,-0.0203632,51.5410043
Hippodamia variegata,-1.042854,52.548976
Hippodamia variegata,-1.178514,53.179269
Hippodamia variegata,-0.641785,51.196331
Hippodamia variegata,-1.02891,53.178143
Hippodamia variegata,-0.716285,53.624646
Hippodamia variegata,0.521898,51.536775
Hippodamia variegata,0.750597,51.383235
Hippodamia variegata,-1.359909,51.683067
Hippodamia variegata,-1.58361,52.286904
Hippodamia variegata,-0.941692,51.442663
Hippodamia variegata,-1.323881,53.449848
Hippodamia variegata,-2.744465,52.666022
Hippodamia variegata,-3.260533,54.141275
Hippodamia variegata,-0.472486,51.316992
Hippodamia variegata,-1.178514,53.179269
Hippodamia variegata,1.357648,51.232473
Hippodamia variegata,-3.135499,53.626138
Hippodamia variegata,-1.034067,53.281561
Hippodamia variegata,-1.143351,50.773935
Hippodamia variegata,-1.964585,52.521374
Hippodamia variegata,-1.026875,53.268019
Hippodamia variegata,-0.06962,51.18829
Hippodamia variegata,-0.006014,51.710107
Hippodamia variegata,-0.062071,51.368024
Hippodamia variegata,-1.065591,51.470242
Hippodamia variegata,-0.649653,50.926643
Hippodamia variegata,-1.634956,52.282578
Hippodamia variegata,-1.485246,52.551726
Hippodamia variegata,-2.226381,53.271772
Hippodamia variegata,-1.496483,51.562798
Hippodamia variegata,-1.930749,50.574722
Hippodamia variegata,-0.284668,53.079851
Hippodamia variegata,0.521898,51.536775
Hippodamia variegata,-0.58017,53.173641
Hippodamia variegata,0.089675,51.545272
Hippodamia variegata,-3.080179,53.532268
Hippodamia variegata,-1.700282,52.377159
Hippodamia variegata,-1.32672,53.270088
Hippodamia variegata,-1.486295,52.46183
Hippodamia variegata,-2.1468189,52.981745
Hippodamia variegata,0.776129,52.9744
Hippodamia variegata,-0.667859,52.342612
Hippodamia variegata,-0.336173,51.731927
Hippodamia variegata,0.550064,52.421964
Hippodamia variegata,-1.38154,52.8625
Hippodamia variegata,-3.103857,53.572502
Hippodamia variegata,-1.212635,51.291484
Hippodamia variegata,-0.937395,53.550408
Hippodamia variegata,0.233773,51.542617
Hippodamia variegata,0.725358,52.521466
